station,station_ft,page,raw_paths,after_grid_filter,post_merge_strict,post_merge_tolerant,noise_removed,filled_removed,candidates_remaining,scored_candidates,classification_rule,classification_confidence,eg_found,pg_found,status,eg_points,eg_length,eg_dash_ratio,eg_segments_merged,eg_color,eg_stroke_w,pg_points,pg_length,pg_dash_ratio,pg_segments_merged,pg_color,pg_stroke_w,signals_used,signal_votes,failure_reason
35+00,3500,97,938,586,457,351,271,0,80,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,26,1130.0,1.0,1,"(0.0, 0.0, 0.0)",0.84,4,200.5,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
35+50,3550,97,912,577,453,344,266,0,78,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,25,1128.9,1.0,1,"(0.0, 0.0, 0.0)",0.84,4,196.2,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
36+00,3600,97,671,414,324,259,194,0,65,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,24,1125.9,1.0,1,"(0.0, 0.0, 0.0)",0.84,4,198.0,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
36+50,3650,98,939,588,458,349,270,0,79,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,25,1123.3,1.0,1,"(0.0, 0.0, 0.0)",0.84,4,194.6,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
37+00,3700,98,935,593,464,354,270,0,84,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,23,1123.7,1.0,1,"(0.0, 0.0, 0.0)",0.84,4,188.5,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
37+50,3750,98,668,414,321,252,190,0,62,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,22,1124.9,1.0,1,"(0.0, 0.0, 0.0)",0.84,54,215.1,0.0,5,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
38+00,3800,99,933,582,451,342,264,0,78,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,23,1123.8,1.0,1,"(0.0, 0.0, 0.0)",0.84,54,197.8,0.0,5,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
38+50,3850,99,916,583,455,343,270,0,73,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,22,1123.1,1.0,1,"(0.0, 0.0, 0.0)",0.84,54,190.4,0.0,5,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
39+00,3900,99,654,401,309,242,183,0,59,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,24,1124.1,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,132.9,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
39+50,3950,100,943,589,451,344,264,0,80,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,25,1125.5,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,131.4,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
40+00,4000,100,913,574,446,339,263,0,76,2,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,25,1125.0,1.0,1,"(0.0, 0.0, 0.0)",0.84,3,135.7,0.0,2,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
40+50,4050,100,676,410,324,253,193,0,60,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,28,1122.5,1.0,1,"(0.0, 0.0, 0.0)",0.84,140,248.6,0.0,8,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
41+00,4100,101,938,579,453,344,266,0,78,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,30,1124.6,1.0,1,"(0.0, 0.0, 0.0)",0.84,129,221.8,0.0,8,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
41+50,4150,101,940,591,458,352,271,0,81,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,30,1123.6,1.0,1,"(0.0, 0.0, 0.0)",0.84,4,215.5,0.0,1,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
42+00,4200,101,708,433,327,261,192,0,69,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,23,1122.7,1.0,1,"(0.0, 0.0, 0.0)",0.84,4,226.8,0.0,1,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
42+50,4250,102,941,581,452,342,265,0,77,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,24,1122.8,1.0,1,"(0.0, 0.0, 0.0)",0.84,4,228.9,0.0,1,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
43+00,4300,102,923,580,458,350,270,0,80,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,22,1123.7,1.0,1,"(0.0, 0.0, 0.0)",0.84,4,229.2,0.0,1,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
43+50,4350,102,678,413,319,250,187,0,63,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,24,1123.0,1.0,1,"(0.0, 0.0, 0.0)",0.84,4,229.9,0.0,1,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
44+00,4400,103,912,569,451,345,267,0,78,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,29,1121.4,1.0,1,"(0.0, 0.0, 0.0)",0.84,4,226.2,0.0,1,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
44+50,4450,103,941,593,459,350,269,0,81,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,32,1121.7,1.0,1,"(0.0, 0.0, 0.0)",0.84,4,223.6,0.0,1,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
45+00,4500,103,672,409,319,251,188,0,63,3,"dash_ratio: dashed=EG, solid=PG",0.9,True,True,ok,30,1120.9,1.0,1,"(0.0, 0.0, 0.0)",0.84,4,224.1,0.0,1,"(0.0, 0.0, 0.0)",0.6,['dash_ratio'],--,
